environment_score_end,social_score_end,governance_score_end,total_score_end,Annual_Return,Cluster_environment_score_end,Cluster_social_score_end,Cluster_governance_score_end,Cluster_total_score_end,Cluster_Annual_Return
14.48,12.9,7.56,35.24,-0.0056357819954881,1,1,1,1,2
13.81,11.66,6.1,31.57,-0.208196141600501,1,1,1,1,2
17.79,11.9,5.85,35.53,0.2879556875472513,1,1,1,1,0
550.0,320.0,260.0,1130.0,0.1604585042028293,0,0,2,0,2
0.06,12.15,9.6,23.7,-0.244704287021349,1,1,1,1,2
0.06,13.33,10.25,24.61,0.3815278106238535,1,1,1,1,0
0.06,13.46,9.66,23.18,0.4548279500063088,1,1,1,1,0
508.0,309.0,320.0,1137.0,-0.0923466958110091,0,0,0,0,2
3.1,11.59,7.32,22.01,0.1240641233589182,1,1,1,1,2
3.1,10.71,7.0,20.82,0.1477808286065918,1,1,1,1,2
2.83,10.75,6.44,20.03,-0.0666573437519047,1,1,1,1,2
17.2,8.5,8.41,34.35,0.0715109614564717,1,1,1,1,2
15.53,7.84,6.63,30.0,-0.387408051068324,1,1,1,1,2
18.68,9.83,7.03,35.53,0.7822222297574246,1,1,1,1,0
17.45,9.71,7.73,34.88,0.407330341031718,1,1,1,1,0
537.0,306.0,225.0,1068.0,0.0448825443545364,0,0,2,0,2
8.97,9.71,5.43,24.12,0.5085470299447924,1,1,1,1,0
9.15,8.86,5.17,23.18,-0.0222447375499901,1,1,1,1,2
9.4,7.82,4.78,22.0,-0.0983402822290275,1,1,1,1,2
515.0,301.0,305.0,1121.0,0.064270926637509,0,0,0,0,2
2.45,11.3,5.92,19.67,-0.228872737572664,1,1,1,1,2
5.93,6.62,7.12,19.82,-0.0426225738492529,1,1,1,1,2
5.79,6.56,7.48,19.9,0.215906439109153,1,1,1,1,0
5.25,5.62,7.36,18.24,-0.0631036405123698,1,1,1,1,2
5.14,4.82,6.44,16.4,0.7907395756839298,1,1,1,1,0
510.0,322.0,235.0,1067.0,-0.244231390686275,0,0,2,0,2
215.0,241.0,200.0,656.0,-0.257244783568542,2,2,2,2,2
0.6,6.58,6.85,14.08,0.134342489810031,1,1,1,1,2
0.57,6.18,6.27,13.02,-0.068872269636066,1,1,1,1,2
0.44,5.84,6.07,12.35,0.4301511389724895,1,1,1,1,0
280.0,234.0,220.0,734.0,-0.186486535331919,2,2,2,2,2
7.04,12.36,3.19,22.57,0.1909151874276224,1,1,1,1,0
6.64,12.37,3.49,22.5,0.2462236028192873,1,1,1,1,0
5.49,9.3,3.61,18.41,0.2442091108025054,1,1,1,1,0
7.45,9.19,3.55,20.2,-0.0640682800277059,1,1,1,1,2
5.48,12.45,7.48,25.41,0.3097903010503967,1,1,1,1,0
5.09,11.31,7.3,23.7,0.2521049058338631,1,1,1,1,0
4.1,9.46,6.99,20.54,-0.0648143580673539,1,1,1,1,2
483.0,303.0,305.0,1091.0,-0.239865651622875,0,0,0,0,2
23.42,14.01,9.07,46.51,0.5566137920685214,1,1,1,1,0
1.03,11.23,8.17,20.42,0.3156204164995295,1,1,1,1,0
1.06,12.22,7.44,20.71,0.0819512343988182,1,1,1,1,2
1.11,9.5,5.74,16.35,-0.0444294364890325,1,1,1,1,2
610.0,312.0,320.0,1242.0,0.2871307248423542,0,0,0,0,0
530.0,305.0,305.0,1140.0,0.0807610942164858,0,0,0,0,2
540.0,302.0,315.0,1157.0,0.0084622387631725,0,0,0,0,2
20.27,11.7,10.64,42.56,0.1226943007980252,1,1,1,1,2
18.87,11.81,10.1,40.78,-0.300968474009911,1,1,1,1,2
19.06,11.46,10.0,40.51,0.3781561523337826,1,1,1,1,0
21.15,10.07,10.06,41.28,0.461335368878176,1,1,1,1,0
265.0,228.0,200.0,693.0,-0.263236722351972,2,2,2,2,2
535.0,325.0,310.0,1170.0,0.1111110787804308,0,0,0,0,2
515.0,300.0,313.0,1128.0,0.0645890835810788,0,0,0,0,2
550.0,341.0,295.0,1186.0,-0.152270530946166,0,0,0,0,2
560.0,339.0,305.0,1204.0,0.2696220930232558,0,0,0,0,0
335.0,321.0,313.0,969.0,-0.0406225946087659,2,0,0,0,2
247.0,222.0,200.0,669.0,0.0616677897600446,2,2,2,2,2
0.14,10.7,8.46,19.16,0.2970970307357162,1,1,1,1,0
0.14,10.34,8.44,18.92,0.1162419987298178,1,1,1,1,2
0.12,10.08,8.6,18.8,0.441749954223625,1,1,1,1,0
0.13,12.67,8.1,20.9,-0.211051781216523,1,1,1,1,2
9.34,7.01,6.03,22.39,-0.328051156746543,1,1,1,1,2
4.63,18.23,9.86,32.72,0.4428422298168173,1,1,1,1,0
3.35,14.81,8.57,26.74,0.4623316668865164,1,1,1,1,0
1.37,8.23,6.13,15.73,-0.153277038638059,1,1,1,1,2
510.0,316.0,321.0,1147.0,-0.162741451019461,0,0,0,0,2
210.0,263.0,205.0,678.0,0.0196620400813932,2,2,2,2,2
4.17,5.92,7.88,17.91,0.1347611985698205,1,1,1,1,2
3.41,5.38,5.54,14.33,0.1624863929963894,1,1,1,1,2
3.37,5.07,5.52,13.95,0.2634473046422154,1,1,1,1,0
3.23,3.7,6.1,13.02,-0.180029380459176,1,1,1,1,2
3.86,9.85,5.87,19.57,0.1409863568477753,1,1,1,1,2
3.4,8.54,5.82,17.76,0.3055840180094292,1,1,1,1,0
3.4,7.41,4.27,15.08,0.2314972800329783,1,1,1,1,0
500.0,320.0,305.0,1125.0,-0.194065184532306,0,0,0,0,2
225.0,201.0,200.0,626.0,0.1449300173121901,2,2,2,2,2
6.08,14.48,6.98,27.52,0.1962213573842184,1,1,1,1,0
5.22,14.79,6.66,26.67,0.4734465198168223,1,1,1,1,0
7.72,16.68,6.81,31.21,-0.311915899506625,1,1,1,1,2
540.0,313.0,300.0,1153.0,-0.112583782120111,0,0,0,0,2
515.0,309.0,300.0,1124.0,-0.124833557796017,0,0,0,0,2
592.0,313.0,210.0,1115.0,0.1454697133106054,0,0,2,0,2
16.23,10.56,7.19,33.99,0.0592265525255147,1,1,1,1,2
15.8,11.37,6.36,33.54,0.0030674713304268,1,1,1,1,2
15.39,10.4,5.44,31.24,0.1429505657123709,1,1,1,1,2
14.49,8.57,4.59,27.66,0.0947478263753228,1,1,1,1,2
260.0,332.0,300.0,892.0,0.0646970919011308,2,0,0,2,2
17.33,11.07,6.25,34.52,0.1836827110847608,1,1,1,1,0
17.26,9.92,6.62,33.79,-0.396795079287778,1,1,1,1,2
16.85,8.61,7.56,33.01,1.753124952316281,1,1,1,1,0
570.0,301.0,300.0,1171.0,0.4173086143712637,0,0,0,0,0
505.0,326.0,305.0,1136.0,-0.0354938725839366,0,0,0,0,2
6.46,22.43,12.99,41.91,0.8694128835113932,1,1,1,1,0
6.2,17.79,10.64,34.64,0.6916178868531787,1,1,1,1,0
5.93,13.04,8.23,27.21,0.4667959719832205,1,1,1,1,0
5.57,11.43,8.28,25.28,-0.0746333271012737,1,1,1,1,2
360.0,300.0,225.0,885.0,-0.0707192808278898,2,0,2,2,2
1.69,11.13,7.32,20.17,0.3059674903630617,1,1,1,1,0
1.69,11.41,7.72,20.81,0.380115358708841,1,1,1,1,0
1.34,10.79,7.54,19.67,0.3173534192360653,1,1,1,1,0
0.93,9.33,6.71,16.98,-0.185101519747904,1,1,1,1,2
14.41,10.3,7.48,32.17,0.3263917903310241,1,1,1,1,0
13.32,9.8,7.06,30.19,0.1172157209490098,1,1,1,1,2
10.33,8.6,6.54,25.47,0.0761009006325229,1,1,1,1,2
9.48,8.44,6.17,24.09,-0.247485888805636,1,1,1,1,2
700.0,358.0,300.0,1358.0,0.1485647396821032,0,0,0,0,2
0.16,18.63,6.95,25.73,-0.260972032624487,1,1,1,1,2
19.08,12.0,7.86,38.87,0.3422926887232856,1,1,1,1,0
13.66,12.21,6.8,32.67,-0.159148702119574,1,1,1,1,2
11.07,11.59,5.97,28.65,0.0874761285100792,1,1,1,1,2
10.64,10.99,5.86,27.49,0.0512145184014218,1,1,1,1,2
500.0,300.0,300.0,1100.0,-0.283915432955574,0,0,0,0,2
13.15,6.61,7.94,27.65,0.0999168029638387,1,1,1,1,2
12.4,6.24,7.56,26.19,0.2472636427378446,1,1,1,1,0
11.82,5.45,7.24,24.51,-0.111851821711037,1,1,1,1,2
605.0,323.0,315.0,1243.0,-0.0047159960022959,0,0,0,0,2
565.0,316.0,300.0,1181.0,0.0285050958326561,0,0,0,0,2
23.89,12.77,8.05,44.78,-0.0221807313174252,1,1,1,1,2
