environment_score_start,social_score_start,governance_score_start,total_score_start,Annual_Return,environment_cluster,governance_cluster,social_cluster,total_cluster,Annual_Return_Cluster
18.68,9.83,7.03,35.53,0.7822222297574246,0,0,0,0,2
17.45,9.71,7.73,34.88,0.407330341,0,0,0,0,2
537,306,225,1068,0.044882544,2,1,2,2,1
8.97,9.71,5.43,24.12,0.5085470299447924,0,0,0,0,2
9.15,8.86,5.17,23.18,-0.022244738,0,0,0,0,0
9.4,7.82,4.78,22,-0.098340282,0,0,0,0,0
515,301,305,1121,0.064270927,2,2,2,2,1
2.45,11.3,5.92,19.67,-0.228872738,0,0,0,0,0
5.93,6.62,7.12,19.82,-0.042622574,0,0,0,0,0
5.79,6.56,7.48,19.9,0.215906439,0,0,0,0,1
5.25,5.62,7.36,18.24,-0.063103641,0,0,0,0,0
5.14,4.82,6.44,16.4,0.7907395756839298,0,0,0,0,2
510,322,235,1067,-0.244231391,2,1,2,2,0
215,241,200,656,-0.257244784,1,1,1,1,0
0.6,6.58,6.85,14.08,0.13434249,0,0,0,0,1
0.57,6.18,6.27,13.02,-0.06887227,0,0,0,0,0
0.44,5.84,6.07,12.35,0.4301511389724895,0,0,0,0,2
280,234,220,734,-0.186486535,1,1,1,1,0
7.04,12.36,3.19,22.57,0.1909151874276224,0,0,0,0,1
6.64,12.37,3.49,22.5,0.2462236028192873,0,0,0,0,1
5.49,9.3,3.61,18.41,0.2442091108025054,0,0,0,0,1
7.45,9.19,3.55,20.2,-0.06406828,0,0,0,0,0
5.48,12.45,7.48,25.41,0.3097903010503967,0,0,0,0,2
5.09,11.31,7.3,23.7,0.2521049058338631,0,0,0,0,1
4.1,9.46,6.99,20.54,-0.064814358,0,0,0,0,0
483,303,305,1091,-0.239865652,2,2,2,2,0
23.42,14.01,9.07,46.51,0.5566137920685214,0,0,0,0,2
1.03,11.23,8.17,20.42,0.3156204164995295,0,0,0,0,2
1.06,12.22,7.44,20.71,0.081951234,0,0,0,0,1
1.11,9.5,5.74,16.35,-0.044429436,0,0,0,0,0
610,312,320,1242,0.2871307248423542,2,2,2,2,1
530,305,305,1140,0.080761094,2,2,2,2,1
540,302,315,1157,0.008462239,2,2,2,2,1
20.27,11.7,10.64,42.56,0.1226943007980252,0,0,0,0,1
18.87,11.81,10.1,40.78,-0.300968474,0,0,0,0,0
19.06,11.46,10,40.51,0.3781561523337826,0,0,0,0,2
21.15,10.07,10.06,41.28,0.461335369,0,0,0,0,2
265,228,200,693,-0.263236722,1,1,1,1,0
535,325,310,1170,0.1111110787804308,2,2,2,2,1
515,300,313,1128,0.064589084,2,2,2,2,1
550,341,295,1186,-0.152270531,2,2,2,2,0
560,339,305,1204,0.2696220930232558,2,2,2,2,1
335,321,313,969,-0.040622595,1,2,2,2,0
247,222,200,669,0.06166779,1,1,1,1,1
0.14,10.7,8.46,19.16,0.2970970307357162,0,0,0,0,1
0.14,10.34,8.44,18.92,0.1162419987298178,0,0,0,0,1
0.12,10.08,8.6,18.8,0.441749954,0,0,0,0,2
0.13,12.67,8.1,20.9,-0.211051781,0,0,0,0,0
9.34,7.01,6.03,22.39,-0.328051157,0,0,0,0,0
4.63,18.23,9.86,32.72,0.4428422298168173,0,0,0,0,2
3.35,14.81,8.57,26.74,0.4623316668865164,0,0,0,0,2
1.37,8.23,6.13,15.73,-0.153277039,0,0,0,0,0
510,316,321,1147,-0.162741451,2,2,2,2,0
210,263,205,678,0.01966204,1,1,1,1,1
4.17,5.92,7.88,17.91,0.1347611985698205,0,0,0,0,1
3.41,5.38,5.54,14.33,0.1624863929963894,0,0,0,0,1
3.37,5.07,5.52,13.95,0.2634473046422154,0,0,0,0,1
3.23,3.7,6.1,13.02,-0.18002938,0,0,0,0,0
3.86,9.85,5.87,19.57,0.1409863568477753,0,0,0,0,1
3.4,8.54,5.82,17.76,0.3055840180094292,0,0,0,0,2
3.4,7.41,4.27,15.08,0.2314972800329783,0,0,0,0,1
500,320,305,1125,-0.194065185,2,2,2,2,0
225,201,200,626,0.1449300173121901,1,1,1,1,1
6.08,14.48,6.98,27.52,0.1962213573842184,0,0,0,0,1
5.22,14.79,6.66,26.67,0.4734465198168223,0,0,0,0,2
7.72,16.68,6.81,31.21,-0.3119159,0,0,0,0,0
540,313,300,1153,-0.112583782,2,2,2,2,0
515,309,300,1124,-0.124833558,2,2,2,2,0
592,313,210,1115,0.1454697133106054,2,1,2,2,1
16.23,10.56,7.19,33.99,0.059226553,0,0,0,0,1
15.8,11.37,6.36,33.54,0.003067471,0,0,0,0,1
15.39,10.4,5.44,31.24,0.1429505657123709,0,0,0,0,1
14.49,8.57,4.59,27.66,0.094747826,0,0,0,0,1
260,332,300,892,0.064697092,1,2,2,1,1
17.33,11.07,6.25,34.52,0.1836827110847608,0,0,0,0,1
17.26,9.92,6.62,33.79,-0.396795079,0,0,0,0,0
16.85,8.61,7.56,33.01,1.753124952316281,0,0,0,0,2
570,301,300,1171,0.4173086143712637,2,2,2,2,2
505,326,305,1136,-0.035493873,2,2,2,2,0
6.46,22.43,12.99,41.91,0.8694128835113932,0,0,0,0,2
6.2,17.79,10.64,34.64,0.6916178868531787,0,0,0,0,2
5.93,13.04,8.23,27.21,0.4667959719832205,0,0,0,0,2
5.57,11.43,8.28,25.28,-0.074633327,0,0,0,0,0
360,300,225,885,-0.070719281,1,1,2,1,0
