ticker,date,env,soc,gov,ret,mom
ALGN,2022-04-14,0.3268334747353927,0.6496611100934238,0.5337402509325195,-0.3755599345622765,0.009162909006821597
ALK,2022-04-14,0.7162686546405375,0.6908774500824327,0.5422177009155646,0.0804010584738383,0.009162909006821597
ALL,2022-04-14,0.7371312535640273,0.6840080600842645,0.4595625635808749,0.1988110714404161,0.009162909006821597
ALLE,2022-04-14,0.7538213327028193,0.7343835867374977,0.6609020006781959,-0.18724461901972,0.009162909006821597
AMAT,2022-04-14,0.730177053922864,0.7229346034072175,0.6291115632417769,-0.2813490765647038,0.009162909006821597
AMD,2022-04-14,0.2781540772472496,0.4733467668071075,0.4171753136656494,-0.3588259752657053,0.009162909006821597
AME,2022-04-14,0.7510396528463539,0.7504121633998901,0.5655306883689386,-0.1371816431120067,0.009162909006821597
AMGN,2018-12-31,2.7816798564653188e-05,0.034575929657446415,0.008286707358426586,0.110179591633574,0.009162909006821597
AMGN,2020-12-31,2.7816798564653188e-05,0.03079776515845393,0.00762970498474059,-0.0538271680290329,0.009162909006821597
AMGN,2021-12-31,2.7816798564653188e-05,0.027248580326067043,0.007078670735842659,-0.027156751478041,0.009162909006821597
AMGN,2022-04-14,0.799719050334497,0.7114856200769372,0.6884537131230926,0.13589410511158,0.8401404786680541
AMP,2020-12-31,0.0031850234356527907,0.02498168162667155,0.021384367582231265,0.1599021703383316,0.009162909006821597
AMP,2021-12-31,0.003324107428476057,0.020058618794651033,0.020282299084435403,0.544598048890789,0.009307434385478089
AMP,2022-04-14,0.0037691762055105083,0.014082249496244731,0.01973126483553747,-0.0426435129141973,0.009625390218522371
AMT,2019-12-31,0.008066871583749425,0.01236490199670269,0.005234825364530349,0.4627968075322928,0.009162909006821597
AMT,2020-12-31,0.008066871583749425,0.01236490199670269,0.00517124448965751,-0.0227272123318229,0.009162909006821597
AMT,2021-12-31,0.005173924533025494,0.005724491665140135,0.0036876907426246193,0.2938469966098223,0.006156781130766562
AMT,2022-04-14,0.0033380158277583837,0.00503755266532332,0.0039208206171583585,-0.1259705251774994,0.007255174008555901
AMZN,2019-12-31,0.009249085522747188,0.032675398424619896,0.016615801966768397,0.2611520798525851,0.009162909006821597
AMZN,2020-12-31,0.00796951278877314,0.02788972339256274,0.016191929467616144,0.7370292968749973,0.00783327552318187
AMZN,2021-12-31,0.0075522608103033425,0.02667613115955303,0.013924211597151579,0.0196758678564587,0.00872933287085212
