environment_score,social_score,governance_score,esg_momentum,Annual_Return
687.8,908.8,820.4,-4.2,1.418848182402408
997.8,708.4,865.2,8.2,0.7582315353415496
997.8,706.2,870.8,3.4,1.3604422582821278
996.8,639.2,843.0,2.0,0.9090169589587169
997.0,655.6,850.0,23.6,1.6693426508609086
989.6,682.4,851.8,21.2,1.5890634868719442
904.0,911.0,908.6,12.8,-0.3439208680507114
932.0,919.4,905.8,33.6,-0.454566576689099
945.0,914.4,892.4,-5.4,-0.3958114932777784
965.8,796.0,877.2,32.4,-0.31529958629044486
936.8,819.2,887.4,4.4,-0.38987783023999284
952.4,788.2,909.8,-6.2,-0.31262357269926583
962.2,779.2,906.6,-2.4,-0.5183245724361832
958.0,769.6,905.4,-15.0,-0.3826643018862841
939.8,845.0,852.2,27.2,-0.5548574790263562
949.4,912.2,886.2,110.8,-0.39232110071645554
