ticker,environment_score,social_score,governance_score,total_score,esg_score_year,Date,High,Low,Open,Close,Volume,Adj Close,esg_momentum,Annual_Return_Close,Annual_Return_High
COP,689.4,843.2,867.4,2400,2020,1/2/2020,65.68000031,64.84999847,65.27999878,65.45999908,4122800,60.38814545,82.2,,
COP,626.4,803.4,859.4,2289.2,2021,1/4/2021,40.65000153,39.18000031,40.5,39.56999969,8597600,37.97010422,-110.8,-39.55087038,-38.10901136
COP,651,805.8,845.4,2302.2,2022,1/3/2022,73.95999908,72.01999664,72.02999878,73.76999664,5769900,73.18209076,13,86.42910593361188,81.94341032291716
CPB,817,822.8,896.6,2536.4,2020,1/2/2020,49.56000137,48.36000061,49.45000076,48.49000168,1730300,44.86088181,18.6,,
CPB,812,843.6,904.4,2560,2021,1/4/2021,48.66999817,47.86000061,48.20000076,48.52999878,2134000,46.2206955,23.6,0.082485252,-1.795809474
CPT,884.2,868.8,850.4,2603.4,2019,1/2/2019,87.26000214,83.66999817,87.26000214,84.27999878,489500,76.50302887,-3.2,,
CPT,895,887.6,852.8,2635.4,2020,1/2/2020,106.6500015,104.6900024,106.6500015,105.0599976,585600,98.2986145,32,24.655907831991076,22.220947609983632
CPT,897.2,903.6,871.2,2672,2021,1/4/2021,100.1500015,96.12000275,99.77999878,96.30000305,523900,93.49299622,36.6,-8.338087522,-6.094702212
CSCO,988.6,876.4,874.6,2739.6,2020,1/2/2020,48.41999817,47.88000107,48.06000137,48.41999817,16708100,45.23390961,20.2,,
CSCO,991.2,883.2,878.6,2753,2021,1/4/2021,44.36999893,43.34999847,44.31000137,43.95999908,24392500,42.51070404,13.4,-9.211068275,-8.364311014
CSX,867.2,752.6,930.2,2550,2020,1/2/2020,24.39666748,24.08333206,24.2733326,24.39666748,8490300,23.7368927,1.8,,
CSX,890.2,814,927.8,2632,2021,1/4/2021,30.34666634,29.12999916,30.21999931,29.32999992,15560700,28.91710091,82,20.221337377509705,24.388572188712708
CSX,851,816.2,929,2596.2,2022,1/3/2022,37.74000168,36.84999847,37.45999908,37.08000183,8722400,36.96964645,-35.8,26.423463795222556,24.36292427367823
CTAS,898.2,773.8,854,2526,2021,1/4/2021,354.7399902,342.2999878,353.9400024,343.6000061,850100,339.6719666,34.2,,
CTAS,918,810.8,860.2,2589,2022,1/3/2022,442.6700134,423.019989,442.3399963,424.0899963,642500,423.0171509,63,23.42549149331927,24.787175291521436
CTSH,978.8,755.6,851.2,2585.6,2021,1/4/2021,82.26999664,78.69999695,82,79.41999817,2305700,78.18497467,-5.8,,
CTSH,977.8,810,885.2,2673,2022,1/3/2022,89.97000122,88.38999939,88.68000031,89.56999969,2673800,89.29954529,87.4,12.780158340313408,9.359432228609354
CVX,622.6,763.8,798,2184.4,2020,1/2/2020,121.6299973,120.7699966,120.8099976,121.4300003,5205000,108.060585,36.6,,
CVX,618.8,770.8,800,2189.6,2021,1/4/2021,85.94999695,83.88999939,85.15000153,84.70999908,9234900,79.65483856,5.2,-30.23964517,-29.33486898
CVX,577,798.6,798.8,2174.4,2022,1/3/2022,119.6900024,117.2900009,117.4199982,119.2600021,10717700,118.0208893,-15.2,40.78621578943829,39.25538876938843
DGX,997.2,793.2,831.2,2621.6,2020,1/2/2020,106.8199997,104.9700012,106.7600021,105.7300034,1020900,100.58564,7.6,,
DGX,997.6,798.4,828,2624,2021,1/4/2021,121.2600021,118.6100006,120,121.1200027,1182300,117.8264008,2.4,14.555943256500449,13.51807006230501
DGX,997.4,746.6,838,2582,2022,1/3/2022,172.5,162.8899994,172.2799988,164.3500061,1232500,162.8312225,-42,35.69187783711962,42.256306294423204
DHR,933,703.8,828.6,2465.4,2021,1/4/2021,225.6600037,219.6799927,224.9900055,223.2299957,3192500,222.3490295,119.8,,
DHR,972.6,835.4,877.4,2685.4,2022,1/3/2022,328.5700073,312.3800049,327.1199951,315.7600098,3664000,315.4840393,220,41.45052899806152,45.604006874347135
DLR,931.8,892.4,889.2,2713.4,2020,1/2/2020,120.3600006,117.4599991,120.0100021,118,1071900,109.8285522,72.8,,
DLR,932.6,898.6,889.6,2720.8,2021,1/4/2021,139.9900055,135.0899963,139.9900055,135.2899933,1858100,130.0937653,7.4,14.652536694915241,16.309409107796213
DLR,935.4,926,878,2739.4,2022,1/3/2022,177.1499939,171.7100067,176.8600006,175.0899963,1000700,173.5156403,18.6,29.418290317854566,26.54474386744703
DLTR,932,829.2,883.6,2644.8,2021,1/4/2021,108.3399963,105.3099976,107.6299973,106.9400024,1664800,106.9400024,36.4,,
DLTR,932,851.8,914.6,2698.4,2022,1/3/2022,141.8000031,139.8899994,140.5200043,141.1699982,1398000,141.1699982,53.6,32.00859830913938,30.88426060800964
DPZ,895.6,704.2,866.8,2466.6,2021,1/4/2021,383.2999878,377.019989,383,379.5,663400,375.293335,17.4,,
DPZ,845.6,666.4,863.8,2375.8,2022,1/3/2022,564.7299805,541.2199707,562.7800293,553.2199707,360300,551.6449585,-90.8,45.77601336,47.33368079173208
DUK,684,772.6,872.8,2329.4,2020,1/2/2020,91.77999878,90.02999878,91.27999878,90.33999634,3921800,82.43216705,9,,
DUK,692.2,792,891.2,2375.4,2021,1/4/2021,92.12999725,89.19999695,91.77999878,89.70999908,2683700,85.43527222,46,-0.697362503,0.38134503666638064
DUK,710.2,828.6,908.2,2447,2022,1/3/2022,104.9100037,103.0199966,104.9100037,103.4899979,3272700,102.4656067,71.6,15.360605240572479,13.87171044336486
DVN,654.8,801.6,867.6,2324,2020,1/2/2020,26.28000069,25.62999916,26.20999908,25.79000092,5091400,22.48558617,17,,
DVN,663,827.8,848.8,2339.6,2021,1/4/2021,16.43000031,15.71000004,16,16.12999916,10303800,14.93776798,15.6,-37.45638393,-37.48097459
