,ticker_start,esg_score_year_start,environment_score_start,social_score_start,governance_score_start,total_score_start,Date_start,High_start,Low_start,Open_start,Close_start,Volume_start,Adj Close_start,MarketData_Year_start,environment_score_end,social_score_end,governance_score_end,total_score_end,Date_end,High_end,Low_end,Open_end,Close_end,Volume_end,Adj Close_end,MarketData_Year_end,Annual_Return
327,DHI,2022,250.0,271.0,205.0,726.0,2022-01-03,108.639999389648,104.51000213623,107.910003662109,105.26000213623,2468600,104.980743408203,2022,9.34,7.01,6.03,22.39,2022-04-14,75.2900009155273,72.3499984741211,74.3000030517578,72.5100021362304,2517100,72.5100021362304,2022,-0.3280511567465435
328,DHR,2020,4.63,18.23,9.86,32.72,2020-01-02,155.240005493164,153.130004882812,153.960006713867,155.110000610351,2585100,153.858978271484,2020,4.63,18.23,9.86,32.72,2020-12-31,222.350006103515,219.669998168945,220.830001831054,222.139999389648,1835500,221.26333618164,2020,0.4428422298168173
329,DHR,2021,3.35,14.81,8.57,26.74,2021-01-04,225.660003662109,219.679992675781,224.990005493164,223.229995727539,3192500,222.349029541015,2021,3.35,14.81,8.57,26.74,2021-12-31,331.230010986328,327.390014648437,328.260009765625,329.010009765625,1276500,328.722473144531,2021,0.4623316668865164
330,DHR,2022,530.0,344.0,385.0,1259.0,2022-01-03,328.570007324218,312.380004882812,327.119995117187,315.760009765625,3664000,315.48403930664,2022,1.37,8.23,6.13,15.73,2022-04-14,285.230010986328,276.320007324218,285.140014648437,276.980010986328,3087000,276.980010986328,2022,-0.15327703863805972
331,DIS,2022,510.0,316.0,321.0,1147.0,2022-01-03,157.559997558593,155.360000610351,155.830001831054,156.759994506835,10222800,156.759994506835,2022,510.0,316.0,321.0,1147.0,2022-04-14,133.58999633789,130.350006103515,132.809997558593,130.470001220703,7252200,130.470001220703,2022,-0.162741451019461
332,DISH,2022,210.0,263.0,205.0,678.0,2022-01-03,33.4599990844726,32.5499992370605,32.5499992370605,33.2900009155273,2041800,33.2900009155273,2022,210.0,263.0,205.0,678.0,2022-04-14,33.2599983215332,32.1699981689453,32.2700004577636,33.1899986267089,2277900,33.1899986267089,2022,0.019662040081393214
333,DLR,2019,4.17,5.92,7.88,17.91,2019-01-02,105.639999389648,102.449996948242,105.519996643066,103.190002441406,1411800,92.6336288452148,2019,4.17,5.92,7.88,17.91,2019-12-31,119.779998779296,118.050003051757,118.410003662109,119.739997863769,1129600,111.448066711425,2019,0.13476119856982052
334,DLR,2020,3.41,5.38,5.54,14.33,2020-01-02,120.360000610351,117.459999084472,120.01000213623,118.0,1071900,109.828552246093,2020,3.41,5.38,5.54,14.33,2020-12-31,139.720001220703,137.0,138.190002441406,139.509994506835,1019000,134.151672363281,2020,0.1624863929963894
335,DLR,2021,3.37,5.07,5.52,13.95,2021-01-04,139.990005493164,135.08999633789,139.990005493164,135.289993286132,1858100,130.093765258789,2021,3.37,5.07,5.52,13.95,2021-12-31,178.220001220703,176.100006103515,176.539993286132,176.869995117187,752000,175.279632568359,2021,0.2634473046422154
336,DLR,2022,540.0,317.0,300.0,1157.0,2022-01-03,177.149993896484,171.710006713867,176.860000610351,175.08999633789,1000700,173.515640258789,2022,3.23,3.7,6.1,13.02,2022-04-14,147.710006713867,144.669998168945,147.25,145.02000427246,1366300,145.02000427246,2022,-0.1800293804591761
337,DLTR,2020,3.86,9.85,5.87,19.57,2020-01-02,94.6900024414062,93.3000030517578,94.6900024414062,93.7799987792968,2191500,93.7799987792968,2020,3.86,9.85,5.87,19.57,2020-12-31,108.300003051757,106.900001525878,107.940002441406,108.040000915527,1121300,108.040000915527,2020,0.14098635684777533
338,DLTR,2021,3.4,8.54,5.82,17.76,2021-01-04,108.33999633789,105.309997558593,107.629997253417,106.940002441406,1664800,106.940002441406,2021,3.4,8.54,5.82,17.76,2021-12-31,141.300003051757,140.149993896484,140.820007324218,140.52000427246,961300,140.52000427246,2021,0.3055840180094292
339,DLTR,2022,235.0,208.0,215.0,658.0,2022-01-03,141.800003051757,139.889999389648,140.52000427246,141.169998168945,1398000,141.169998168945,2022,3.4,7.41,4.27,15.08,2022-04-14,174.300003051757,170.610000610351,170.970001220703,173.050003051757,2297700,173.050003051757,2022,0.23149728003297837
340,DOV,2022,500.0,320.0,305.0,1125.0,2022-01-03,183.720001220703,177.289993286132,181.639999389648,178.330001831054,786100,177.756072998046,2022,500.0,320.0,305.0,1125.0,2022-04-14,150.830001831054,146.27000427246,149.960006713867,146.389999389648,886100,146.389999389648,2022,-0.19406518453230606
341,DOW,2022,225.0,201.0,200.0,626.0,2022-01-03,57.9000015258789,56.7900009155273,57.2000007629394,56.8699989318847,5231900,56.1920509338378,2022,225.0,201.0,200.0,626.0,2022-04-14,66.0,64.3899993896484,64.4899978637695,65.4899978637695,7000200,65.4899978637695,2022,0.14493001731219018
342,DPZ,2019,6.08,14.48,6.98,27.52,2019-01-02,245.58999633789,240.240005493164,245.58999633789,243.300003051757,444700,236.265762329101,2019,6.08,14.48,6.98,27.52,2019-12-31,295.970001220703,292.690002441406,292.690002441406,293.779998779296,519000,288.092742919921,2019,0.19622135738421848
343,DPZ,2021,5.22,14.79,6.66,26.67,2021-01-04,383.299987792968,377.019989013671,383.0,379.5,663400,375.293334960937,2021,5.22,14.79,6.66,26.67,2021-12-31,567.570007324218,556.5,557.789978027343,564.330017089843,297400,562.723388671875,2021,0.47344651981682234
